,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.02601280212402344,0.00014538299681968484,0.006123733520507812,5.8730660551269066e-05,9.111627561154887e-05,{'var_smoothing': 9.111627561154887e-05},0.6989083034297696,0.6889865875535733,0.6896365151971731,0.6883200219213044,0.6907821556771478,0.6913267167557937,0.0038768596333367067,1
21,0.0263394832611084,0.0002021924162827889,0.006187725067138672,9.406093698744628e-05,5.72236765935022e-05,{'var_smoothing': 5.72236765935022e-05},0.6988915916412741,0.6889865875535733,0.6896365151971731,0.6883200219213044,0.6907821556771478,0.6913233743980947,0.0038703235721103835,2
22,0.02642364501953125,0.00023930781473571985,0.006184244155883789,4.845111368345037e-05,3.5938136638046256e-05,{'var_smoothing': 3.5938136638046256e-05},0.6988915916412741,0.6889865875535733,0.6896365151971731,0.6882865972271404,0.6907821556771478,0.6913166894592617,0.0038755306425912114,3
23,0.026407814025878905,0.00017168538932277972,0.006228160858154297,9.691618758187045e-05,2.2570197196339216e-05,{'var_smoothing': 2.2570197196339216e-05},0.6988915916412741,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913133469898455,0.0038781488407873313,4
49,0.025900888442993163,5.540929849512527e-05,0.006152153015136719,6.929938581092615e-05,1.2618568830660183e-10,{'var_smoothing': 1.2618568830660183e-10},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
73,0.02658424377441406,7.710319723067084e-05,0.006268501281738281,0.00010489387895170871,1.788649529057435e-15,{'var_smoothing': 1.788649529057435e-15},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
72,0.026674842834472655,0.00036188709733041047,0.006288480758666992,9.896759526236416e-05,2.8480358684358048e-15,{'var_smoothing': 2.8480358684358048e-15},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
71,0.0264951229095459,0.0003215057557230546,0.006247806549072266,5.6961267268090606e-05,4.534878508128591e-15,{'var_smoothing': 4.534878508128591e-15},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
70,0.026031637191772462,7.830685376120582e-05,0.00615382194519043,5.631364067561115e-05,7.220809018385457e-15,{'var_smoothing': 7.220809018385457e-15},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
69,0.026476192474365234,0.00043688333075746,0.006220817565917969,6.0639739682308385e-05,1.1497569953977357e-14,{'var_smoothing': 1.1497569953977357e-14},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
68,0.026072168350219728,6.919769756512595e-05,0.00610957145690918,4.931095684508662e-05,1.8307382802953698e-14,{'var_smoothing': 1.8307382802953698e-14},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
67,0.02611203193664551,0.00013873170460577041,0.006148433685302735,8.235222073426927e-05,2.9150530628251816e-14,{'var_smoothing': 2.9150530628251816e-14},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
74,0.026629018783569335,0.00021611796103121665,0.006293487548828125,9.973792092440822e-05,1.1233240329780266e-15,{'var_smoothing': 1.1233240329780266e-15},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
66,0.02658543586730957,0.00030488151280429974,0.006308984756469726,0.00012359646735337148,4.6415888336127726e-14,{'var_smoothing': 4.6415888336127726e-14},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
64,0.026663589477539062,0.00021404717057697012,0.0062141895294189455,6.201475774975977e-05,1.176811952434999e-13,{'var_smoothing': 1.176811952434999e-13},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
63,0.02626824378967285,0.00019248345650942544,0.00621953010559082,6.05665036175015e-05,1.8738174228603867e-13,{'var_smoothing': 1.8738174228603867e-13},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
62,0.026016378402709962,0.00016247141438727785,0.0061932563781738285,4.518962376819796e-05,2.9836472402833466e-13,{'var_smoothing': 2.9836472402833466e-13},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
61,0.026293230056762696,0.00012810711032500775,0.006171274185180664,8.15606785968851e-05,4.750810162102794e-13,{'var_smoothing': 4.750810162102794e-13},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
60,0.02646608352661133,0.0003690269662108644,0.00622406005859375,0.00010651613586038161,7.564633275546291e-13,{'var_smoothing': 7.564633275546291e-13},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
