,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
148,191.32806963920592,376.1305489843584,0.17396292686462403,0.0009098082793284894,False,balanced,gini,50,log2,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'n_estimators': 90}",0.7296182582143849,0.7240606204302478,0.7326437014051,0.7266823091082804,0.7264551333872271,0.727892004509048,0.0029585821195222883,258
464,1.9950168132781982,0.019812737315120066,0.09854211807250976,0.00034594496721052363,False,balanced,entropy,40,sqrt,50,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 40, 'max_features': 'sqrt', 'n_estimators': 50}",0.7261819548889374,0.7240603141534354,0.7324418037303045,0.7262779216235187,0.7304971705739693,0.7278918329940331,0.0030886549589868675,259
139,45.26224188804626,83.28670746753419,0.19619812965393066,0.00469822066082314,False,balanced,gini,50,sqrt,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 100}",0.7307296755115599,0.7243637528007993,0.7332497619616614,0.7278943893844947,0.7232215036378336,0.7278918166592696,0.003768821716544799,260
50,0.3325242042541504,0.004480283773243016,0.018193864822387697,0.00020591894534666608,False,balanced,gini,20,log2,10,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 10}",0.7266866990759261,0.7223420399799867,0.7331499769761511,0.7304226840531709,0.7267582861762327,0.7278719372522935,0.003676650232616691,261
359,3.6318827629089356,0.028352040665200418,0.19519429206848143,0.0006781955245012063,False,balanced,gini,,log2,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.7290120751470986,0.7232525805250745,0.734664474977021,0.7261771565522084,0.7262530315278901,0.7278718637458585,0.0038540907377277002,262
536,2.7908288478851317,0.023150564103350414,0.13821959495544434,0.0011047210728529894,False,balanced,entropy,60,log2,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 60, 'max_features': 'log2', 'n_estimators': 70}",0.7310326036975696,0.7269908932060942,0.7324416608011255,0.722943935171898,0.7259498787388844,0.7278717943231143,0.0034533443973514704,263
497,3.17990984916687,0.029738440543043664,0.15680503845214844,0.0014467779229941787,False,balanced,entropy,50,sqrt,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 80}",0.7274963316205245,0.726283373350781,0.7332498844723863,0.7267832783641323,0.7255456750202102,0.7278717085656069,0.0027634617800002424,264
357,2.8929434299468992,0.030392692374529476,0.15821475982666017,0.0033954792023074714,False,balanced,gini,,log2,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 80}",0.7279001065516613,0.7268895972549757,0.7312290496451028,0.725873554557211,0.7274656426839128,0.7278715901385727,0.0018107786760160507,265
487,3.175659704208374,0.02282108433529276,0.1568875789642334,0.0006565850697473874,False,balanced,entropy,50,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'auto', 'n_estimators': 80}",0.7274961478544371,0.7248690278675962,0.7310269477857656,0.728298858543073,0.7275666936135813,0.7278515351328906,0.0019690671977197058,266
319,3.6208744049072266,0.029577682787317497,0.19454450607299806,0.0007268477837439015,False,balanced,gini,110,sqrt,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 110, 'max_features': 'sqrt', 'n_estimators': 100}",0.7268899239502423,0.7279005353391987,0.7297132448631661,0.7278945323136738,0.7268593371059013,0.7278515147144364,0.0010372430657128715,267
568,3.581614446640015,0.026463081957243322,0.176910400390625,0.0009965662748157376,False,balanced,entropy,70,log2,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 70, 'max_features': 'log2', 'n_estimators': 90}",0.7307295530008349,0.7233536518731971,0.7323405486160943,0.7277932976179178,0.7250404203718674,0.7278514942959823,0.003363656953908243,268
467,3.1827558994293215,0.024600078448785475,0.1568727970123291,0.0006882556012108789,False,balanced,entropy,40,sqrt,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 40, 'max_features': 'sqrt', 'n_estimators': 80}",0.7296182990512933,0.726283618372231,0.7308251522032411,0.7257727486489925,0.7266572352465642,0.7278314107044644,0.0020083772899445766,269
575,2.3941157817840577,0.017137124106856437,0.11811671257019044,0.0006402620494112219,False,balanced,entropy,80,auto,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 80, 'max_features': 'auto', 'n_estimators': 60}",0.7282033410144835,0.7249699562865398,0.7317347126625289,0.7285011033315894,0.7257477768795473,0.7278313780349379,0.0023812617597831925,270
346,2.5364749908447264,0.01343677603294866,0.13721089363098143,0.0009232711794947423,False,balanced,gini,,sqrt,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 70}",0.7250711297269334,0.7274960661806202,0.7340583531650973,0.727692961334145,0.7248383185125303,0.7278313657838652,0.0033311916342382126,271
339,3.622001552581787,0.028992433949072926,0.1954658031463623,0.0011701644001147894,False,balanced,gini,,auto,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 100}",0.7295172072847164,0.7276981476215032,0.7300164384890802,0.7269854006419235,0.7249393694421988,0.7278313126958844,0.0018283134971525535,272
135,2.184500312805176,0.012932521885618537,0.1166611671447754,0.0006830678993065691,False,balanced,gini,50,sqrt,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 60}",0.7302239512387713,0.7233536110362888,0.7316332737822311,0.7248636373956965,0.7289814066289411,0.7278111760163858,0.0031735539940023197,273
625,2.3840404510498048,0.007549777089357491,0.11735138893127442,0.0005339501604897662,False,balanced,entropy,90,log2,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 90, 'max_features': 'log2', 'n_estimators': 60}",0.728506473385035,0.727193076739248,0.7316335392221353,0.7269853802234694,0.7247372675828617,0.7278111474305499,0.002263042083971008,274
286,2.5407536029815674,0.020857177022991624,0.13716516494750977,0.000810840599968413,False,balanced,gini,100,sqrt,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 70}",0.7285063917112183,0.7263847713941705,0.7311280395523425,0.7275918899860223,0.7254446240905417,0.727811143346859,0.0019579679823873886,275
547,3.1814034461975096,0.02270631737379054,0.15718660354614258,0.0008075544192662289,False,balanced,entropy,70,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 70, 'max_features': 'auto', 'n_estimators': 80}",0.7289109629620676,0.7246667830790801,0.7334519250763609,0.7252676777667373,0.7267582861762327,0.7278111270120957,0.003177821536119864,276
477,3.17751202583313,0.019957743243153452,0.15695443153381347,0.0006629119516986884,False,balanced,entropy,40,log2,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 40, 'max_features': 'log2', 'n_estimators': 80}",0.7268900668794216,0.7252732520047247,0.7338558020997685,0.726682145760647,0.7263540824575586,0.7278110698404241,0.003073266526686491,277
157,2.9003419876098633,0.01985307021712631,0.15476303100585936,0.0007657009365287876,False,balanced,gini,60,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 60, 'max_features': 'auto', 'n_estimators': 80}",0.7273950356694059,0.7286075243147037,0.7300162751414467,0.7261771157153001,0.7267582861762328,0.7277908474034178,0.0013745158691349105,278
537,3.1859578132629394,0.02749947295450066,0.1570065975189209,0.0008234545409755776,False,balanced,entropy,60,log2,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 60, 'max_features': 'log2', 'n_estimators': 80}",0.7294159725889604,0.7276980863661409,0.7310269682042199,0.7277937468239095,0.7230194017784963,0.7277908351523454,0.0026791347884560176,279
127,36.28126001358032,66.75792256237548,0.1558659553527832,0.00082594102919149,False,balanced,gini,50,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'max_features': 'auto', 'n_estimators': 80}",0.7265869549273242,0.7256772107019489,0.734058189817464,0.7255706263712013,0.72696038803557,0.7277706739707017,0.0031878960927639445,280
465,2.3897162437438966,0.012892553958979962,0.11796979904174805,0.0004298778195505677,False,balanced,entropy,40,sqrt,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 40, 'max_features': 'sqrt', 'n_estimators': 60}",0.7283045552917855,0.7267885463253072,0.7345636690688025,0.7254698000445285,0.7237267582861762,0.72777066580332,0.0037159564385776662,281
336,2.540304088592529,0.021042768394147475,0.1369945526123047,0.0005592757025521196,False,balanced,gini,,auto,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 70}",0.7281025759431734,0.723959651174396,0.7340581285621015,0.7274907165456288,0.725141471301536,0.7277505087053672,0.0034972900525400727,282
499,3.987010622024536,0.027179242261520725,0.19621338844299316,0.0003864523976005102,False,balanced,entropy,50,sqrt,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'n_estimators': 100}",0.7294161155181396,0.7266880466939011,0.7341591590733159,0.7249645045592774,0.7235246564268392,0.7277504964542946,0.0037574863326535327,283
667,3.1859066009521486,0.02986500001746768,0.15572218894958495,0.0008634605180114845,False,balanced,entropy,110,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 110, 'max_features': 'auto', 'n_estimators': 80}",0.7276985968274949,0.7250710276346626,0.7319362019682409,0.7267830945980447,0.7272635408245756,0.7277504923706037,0.0022748788764604773,284
