,acc,precision,recall,f1,auc
GaussianNB_best,0.7248745231881148,0.30228862047043864,0.7174651075066013,0.4253606172425361,0.7884832610460752
RandomForest_best,0.7244596131968145,0.31375694936756093,0.793002640513014,0.44961903488838395,0.8313441329280252
DecisionTree_best,0.7068727832429901,0.2970136917382398,0.779422859298378,0.43012151648408836,0.8077476438465089
Logistic_best,0.7361306297262933,0.32134593513471116,0.7727272727272727,0.45392349666232723,0.8278440522523351
LDA_best,0.7514822994044034,0.32330493432729857,0.6870992078460958,0.43971031985516,0.8074421254522015
QDA_best,0.6867831091480961,0.2839781243670245,0.7932855526216522,0.41823696116939296,0.7841267377406267
KNN_best,0.7031519775145553,0.297164686503347,0.7996039230479064,0.43329841326621865,0.8184620053567152
SVC,0.7113966405674897,0.30493752447403083,0.8078083741984157,0.44274454063832536,0.8185209676274576
